PDBchain   len  method   resol   rfac  freerfac
6FT2A      246  XRAY      1.25  0.181  0.202
2TPSA      227  XRAY      1.25  0.181  0.222
6TAKAAA    213  XRAY      1.25  0.182  0.206
3F9XA      166  XRAY      1.25  0.182  0.207
1QFTA      175  XRAY      1.25  0.184  NA   
1Y6XA       93  XRAY      1.25  0.185  0.207
6AYMA      238  XRAY      1.25   0.19  0.205
7DA0B      107  XRAY      1.25  0.194  0.212
7DA0C       81  XRAY      1.25  0.194  0.212
1C1DA      355  XRAY      1.25  0.195  0.238
2JKHA      241  XRAY      1.25  0.196  0.221
2G3RA      123  XRAY      1.25  0.196  0.241
2JKHL       55  XRAY      1.25  0.196  0.221
2DY0A      190  XRAY      1.25  0.198  0.207
1OAAA      259  XRAY      1.25    0.2  0.222
4HI7A      228  XRAY      1.25  0.201  0.228
6TNEA      135  XRAY      1.25  0.207  0.227
5LX6A      191  XRAY      1.25  0.208  0.213
2GOMA       61  XRAY      1.25  0.211  0.218
1QAUA      112  XRAY      1.25  0.239  0.255
3O2RA      170  XRAY     1.251  0.135  0.168
5D78A       81  XRAY     1.251  0.139  0.177
3N0RA      286  XRAY     1.251  0.154  0.173
6P44A      123  XRAY     1.251  0.154  0.179
4PKLA      119  XRAY     1.251   0.17  0.179
6E4DA      510  XRAY     1.252  0.168  0.188
7C6CA      242  XRAY     1.258  0.151  0.166
6ZE6A      595  XRAY      1.26  0.114  0.147
3PD7A      107  XRAY      1.26  0.114  0.144
5NOAA      381  XRAY      1.26  0.123  0.148
4QP5A      140  XRAY      1.26  0.133  0.175
5M2OB       96  XRAY      1.26  0.136  0.153
5V0ZA      202  XRAY      1.26  0.138  0.164
2RILA       99  XRAY      1.26  0.141  0.162
3UR8A      323  XRAY      1.26  0.143  0.182
4F98A       69  XRAY      1.26  0.145  0.169
5GNGA      223  XRAY      1.26  0.148  0.181
3S4EA      144  XRAY      1.26  0.151  0.181
6TABA      254  XRAY      1.26  0.152  0.177
2FCWA      109  XRAY      1.26  0.152    0.2
2FCWB       80  XRAY      1.26  0.152    0.2
3RL5A      296  XRAY      1.26  0.154  0.174
3ZN4A      173  XRAY      1.26  0.158  0.184
4RI5A      306  XRAY      1.26   0.16  0.173
6EH4E      244  XRAY      1.26   0.16  0.191
6EH4D      204  XRAY      1.26   0.16  0.191
2E7ZA      727  XRAY      1.26  0.161  0.195
6H8NA      212  XRAY      1.26  0.161  0.174
2E6FA      314  XRAY      1.26  0.166   0.18
4J4ZA      167  XRAY      1.26   0.17  0.181
3MEAA      180  XRAY      1.26  0.179    0.2
7KBGA      376  XRAY      1.26  0.185  0.196
4L4EA      415  XRAY     1.261  0.191  0.211
4LDCA      149  XRAY     1.264  0.128  0.144
4E2BA      382  XRAY     1.269  0.147  0.171
3CBWA      353  XRAY     1.269  0.151  0.172
4CHIA      332  XRAY      1.27  0.104  0.127
3MD7A      293  XRAY      1.27  0.108  0.134
3SXXA      692  XRAY      1.27  0.109  0.138
5GSMA      786  XRAY      1.27  0.133  0.175
1GXUA       91  XRAY      1.27  0.133  0.161
5AOGA      307  XRAY      1.27  0.137  0.159
3WP4A      228  XRAY      1.27  0.141  0.166
2BJDA      101  XRAY      1.27  0.141  0.171
6SL9AAA    258  XRAY      1.27  0.147  0.179
5VHGA      150  XRAY      1.27  0.151  0.179
4XQCA      475  XRAY      1.27  0.152  0.182
6FSGA      147  XRAY      1.27  0.152  0.171
6RNVA      330  XRAY      1.27  0.154  0.186
3SOVA      318  XRAY      1.27  0.154   0.18
4Q53A      110  XRAY      1.27  0.155  0.176
6JU8A      461  XRAY      1.27  0.158  0.197
6I1AA      370  XRAY      1.27  0.159  0.178
5IK4A      393  XRAY      1.27   0.16  0.182
5BMNA      468  XRAY      1.27  0.166  0.187
3AJDA      274  XRAY      1.27  0.169  0.185
5R0DB      308  XRAY      1.27  0.181  0.197
3F40A      114  XRAY      1.27  0.183  0.199
5DHDA      100  XRAY      1.27  0.195  0.195
2CC6A       68  XRAY      1.27  0.208  0.232
6AVXA      230  XRAY     1.271  0.151  0.166
7S5HB      308  XRAY     1.272  0.206  0.209
7S5HA      122  XRAY     1.272  0.206  0.209
5NSAA      108  XRAY     1.273  0.146  0.179
6H17A      201  XRAY     1.275  0.147  0.163
4B97A      151  XRAY     1.276  0.141  0.156
6RQQA      256  XRAY     1.276  0.182  0.196
3W19C       40  XRAY     1.278  0.156  0.172
4XEMA      475  XRAY     1.278  0.162  0.179
4R75A      321  XRAY     1.278  0.173   0.19
4QUSA      149  XRAY      1.28  0.111  0.139
5ULBA      337  XRAY      1.28  0.112  0.153
5ACHA      235  XRAY      1.28  0.119  0.147
5OL4C      570  XRAY      1.28   0.12  0.137
5OL4B      122  XRAY      1.28   0.12  0.137
5OL4A      100  XRAY      1.28   0.12  0.137
4LYPA      449  XRAY      1.28  0.121  0.153
4I71A      330  XRAY      1.28  0.127  0.147
4RZ9A      179  XRAY      1.28  0.128   0.15
4UULA      341  XRAY      1.28  0.131  0.154
6IX1A      225  XRAY      1.28  0.133   0.17
5U69A      369  XRAY      1.28  0.134  0.152
3PPTA      133  XRAY      1.28  0.136  0.171
4MJDA      113  XRAY      1.28  0.136  0.165
5M33A      101  XRAY      1.28  0.138  0.173
4UP0A       99  XRAY      1.28  0.139  0.166
6ZZOA      266  XRAY      1.28  0.143  0.161
4OHJA      229  XRAY      1.28  0.143  0.177
2Y7EA      282  XRAY      1.28  0.145   0.17
7KPOA      108  XRAY      1.28  0.146   0.18
4YUDA       92  XRAY      1.28  0.149  0.194
3SIGA      277  XRAY      1.28   0.15  0.161
6HQCA      116  XRAY      1.28   0.15  0.197
5HJ9A      330  XRAY      1.28  0.151  0.159
5BYKA      259  XRAY      1.28  0.152  0.171
4EP4A      166  XRAY      1.28  0.155  0.191
5N8AX      102  XRAY      1.28  0.155  0.178
3TVJB      242  XRAY      1.28  0.159  0.205
3TVJA       86  XRAY      1.28  0.159  0.205
4EXKA      487  XRAY      1.28   0.16  0.178
5KVSA      385  XRAY      1.28  0.162  0.174
5H9NA      156  XRAY      1.28  0.163  0.187
4J42A       93  XRAY      1.28  0.163  0.174
2J82A      240  XRAY      1.28  0.165  0.204
3TM8A      328  XRAY      1.28  0.167  0.196
4EUOA      320  XRAY      1.28  0.167  0.181
2PC1A      201  XRAY      1.28  0.167  0.178
4JF1A      422  XRAY      1.28  0.168   0.18
3RKGA      261  XRAY      1.28   0.17  0.204
4WLHA      422  XRAY      1.28  0.172  0.187
4LTTA       93  XRAY      1.28  0.181  0.212
5LY8A      247  XRAY      1.28  0.184  0.198
4HCSA       81  XRAY      1.28  0.184  0.206
6TS3A       73  XRAY      1.28  0.184  0.199
1QKSA      567  XRAY      1.28  0.185    0.2
1C52A      131  XRAY      1.28  0.191  0.224
6R09A      364  XRAY      1.28   0.21  0.232
1RTTA      193  XRAY      1.28  0.211  0.228
2DXUA      235  XRAY      1.28  0.223  0.233
4RUWA      440  XRAY     1.281  0.138  0.148
5L0NA      135  XRAY     1.285  0.168  0.182
4YG0A      164  XRAY     1.285  0.172  0.199
6AT0A       69  XRAY     1.285  0.242   0.26
6QPSA      467  XRAY     1.287   0.16  0.175
3AOFA      317  XRAY     1.288  0.173  0.188
5EYNA      323  XRAY     1.289  0.142  0.169
4WDCA      179  XRAY      1.29   0.12  0.151
6YI7A      254  XRAY      1.29  0.121  0.157
3FEDA      707  XRAY      1.29  0.131  0.147
2Z26A      347  XRAY      1.29  0.131  0.154
5R4VA      130  XRAY      1.29  0.134  0.153
4IHMA      326  XRAY      1.29  0.141  0.148
2J8WA      129  XRAY      1.29  0.151  0.179
3MU7A      273  XRAY      1.29  0.153  0.171
4ULVA      128  XRAY      1.29  0.153  0.186
6JZ2A      627  XRAY      1.29  0.156   0.17
6SA5A      137  XRAY      1.29  0.156  0.188
6V4WA      277  XRAY      1.29  0.162  0.186
4TKCA      120  XRAY      1.29  0.162  0.207
6IIYA      293  XRAY      1.29  0.163  0.182
7OMVAAA    210  XRAY      1.29  0.163  0.202
3QJAA      272  XRAY      1.29  0.164  0.181
5O6HA      391  XRAY      1.29  0.165  0.193
6ATRA      221  XRAY      1.29  0.168  0.182
3M9QA      101  XRAY      1.29  0.171  0.192
6ST4A      104  XRAY      1.29  0.179  0.194
4FZPA       82  XRAY      1.29   0.18  0.188
4MNKA      348  XRAY      1.29  0.183  0.199
5NZOA      195  XRAY      1.29  0.198  0.241
3PX8X      258  XRAY      1.29  0.208  0.233
2XN6A      350  XRAY      1.29  0.209  0.235
6FEXA      321  XRAY     1.291  0.139  0.174
6EFNA      412  XRAY     1.291  0.144  0.169
5YVKA      225  XRAY     1.292  0.166  0.187
6FC0A      200  XRAY     1.293  0.165  0.201
6FC0B       81  XRAY     1.293  0.165  0.201
5EX2A      271  XRAY     1.294   0.17  0.195
3PQHA      127  XRAY     1.295  0.125   0.16
1GKPA      458  XRAY     1.295  0.154  0.184
6GNAA      288  XRAY     1.295  0.177  0.201
6W70A      126  XRAY     1.296  0.162  0.183
6J33A     1053  XRAY     1.297  0.129  0.154
6HURA      428  XRAY     1.297  0.151  0.171
5WXHA       63  XRAY     1.297  0.154  0.175
3S2JA      400  XRAY     1.297  0.171  0.177
6F9MA      330  XRAY     1.298   0.13   0.15
4HWWA      314  XRAY     1.298  0.159  0.169
5XW2A      419  XRAY     1.298  0.169  0.185
4QEKA      301  XRAY     1.299  0.127  0.143
6QO9A      322  XRAY     1.299  0.137  0.159
3OZYA      389  XRAY     1.299  0.155  0.172
6NE2B      200  XRAY     1.299  0.163  0.184
6NE2A      124  XRAY     1.299  0.163  0.184
5X2EA       80  XRAY     1.299  0.183  0.216
6VRDA      294  XRAY     1.299  0.191  0.229
6CAFA      324  XRAY       1.3  0.097  0.128
6LL8A      309  XRAY       1.3  0.098  0.122
6XOKA      291  XRAY       1.3  0.106  0.134
4WBJA      164  XRAY       1.3  0.106  0.142
6T9MAAA    386  XRAY       1.3  0.107  0.133
3T2CA      407  XRAY       1.3  0.109  0.129
6ER4A      194  XRAY       1.3   0.11  0.135
4W9ZA      139  XRAY       1.3   0.11  0.134
4S39A      406  XRAY       1.3  0.113  0.134
5ZW7A      402  XRAY       1.3  0.114  0.127
5UEJA      384  XRAY       1.3  0.115  0.153
1O7QA      289  XRAY       1.3  0.116  0.154
6SBFA      367  XRAY       1.3  0.117  0.147
5C7HA      281  XRAY       1.3  0.117   0.14
2AHNA      222  XRAY       1.3  0.117  0.146
1OQVA      192  XRAY       1.3  0.117  0.174
3MYXA      238  XRAY       1.3  0.119  0.146
4Q98A      369  XRAY       1.3   0.12  0.156
5LDGA      316  XRAY       1.3   0.12  0.146
4M1XA       99  XRAY       1.3   0.12  0.144
1EU1A      780  XRAY       1.3  0.121  0.145
4JJAA      371  XRAY       1.3  0.121  0.151
5A0NA      220  XRAY       1.3  0.121  0.151
3G0KA      148  XRAY       1.3  0.121  0.143
3HWUA      147  XRAY       1.3  0.121   0.14
4IILA      346  XRAY       1.3  0.122  0.153
4R3FA      204  XRAY       1.3  0.122  0.143
4F06A      371  XRAY       1.3  0.123  0.143
4BATA      301  XRAY       1.3  0.123  0.143
6XTDBBB    163  XRAY       1.3  0.123  0.165
6XTDAAA    155  XRAY       1.3  0.123  0.165
3M3PA      250  XRAY       1.3  0.125  0.155
2X5NA      192  XRAY       1.3  0.125  0.165
7CBDA      457  XRAY       1.3  0.126  0.156
4JG2A      208  XRAY       1.3  0.126  0.163
5V01A      173  XRAY       1.3  0.126  0.161
4Z39A      121  XRAY       1.3  0.126  0.161
6UI3A      340  XRAY       1.3  0.127  0.142
3ZNVA      275  XRAY       1.3  0.127  0.154
6ENSA      193  XRAY       1.3  0.127  0.168
7KH8A      157  XRAY       1.3  0.127  0.161
6GCVA      146  XRAY       1.3  0.127  0.153
5I8FA      165  XRAY       1.3  0.128  0.153
4ZHBA      114  XRAY       1.3  0.128  0.159
5Y90A      323  XRAY       1.3  0.129  0.167
1DCSA      311  XRAY       1.3  0.129   0.15
3WH2A      147  XRAY       1.3  0.129  0.156
5SUIA      439  XRAY       1.3   0.13  0.162
4IUSA      261  XRAY       1.3   0.13  0.156
6UAXA      355  XRAY       1.3  0.131  0.167
3LYEA      307  XRAY       1.3  0.131  0.166
1R29A      127  XRAY       1.3  0.131  0.173
4RLEA      117  XRAY       1.3  0.131  0.154
3FGVA      106  XRAY       1.3  0.131   0.15
2IZRA      330  XRAY       1.3  0.132  0.158
1G61A      228  XRAY       1.3  0.132  0.179
1QDDA      144  XRAY       1.3  0.132  0.159
3R68A       95  XRAY       1.3  0.132  0.157
2NQWA       93  XRAY       1.3  0.132  0.167
6TNQA       75  XRAY       1.3  0.132   0.17
3DRFA      590  XRAY       1.3  0.133  0.161
5CVDA      243  XRAY       1.3  0.133   0.16
3LQWA      163  XRAY       1.3  0.133  0.155
5INBB       46  XRAY       1.3  0.133  0.153
1WMDA      434  XRAY       1.3  0.134  0.169
1KA1A      357  XRAY       1.3  0.134  0.169
6RS4A      321  XRAY       1.3  0.134  0.162
1FCYA      236  XRAY       1.3  0.134  0.164
3QZXA      195  XRAY       1.3  0.134  0.164
3OGNA      124  XRAY       1.3  0.134  0.174
3NBMA      108  XRAY       1.3  0.134  0.167
6ZTXA      753  XRAY       1.3  0.135  0.162
7BBRA      339  XRAY       1.3  0.135  0.163
4GVQA      316  XRAY       1.3  0.135   0.16
1XUBA      298  XRAY       1.3  0.135   0.16
2YEXA      276  XRAY       1.3  0.135  0.164
2AQPA      164  XRAY       1.3  0.135  0.183
1FK5A       93  XRAY       1.3  0.135  0.188
3L9AX       88  XRAY       1.3  0.135  0.155
3C2UA      538  XRAY       1.3  0.136  0.163
4BRCA      368  XRAY       1.3  0.136  0.186
1VLYA      338  XRAY       1.3  0.136  0.168
4PC9A      322  XRAY       1.3  0.136  0.148
2HC1A      291  XRAY       1.3  0.136  0.179
3KKFA      105  XRAY       1.3  0.136  0.167
7LQXA      451  XRAY       1.3  0.137  0.152
3EOJA      366  XRAY       1.3  0.137  0.161
3N6ZA      363  XRAY       1.3  0.137  0.157
4P7XA      292  XRAY       1.3  0.137  0.162
2PRVA      153  XRAY       1.3  0.137  0.175
1OX0A      430  XRAY       1.3  0.138   0.16
4XFKA      399  XRAY       1.3  0.138  0.161
6ULOA      334  XRAY       1.3  0.138  0.172
4N13A      265  XRAY       1.3  0.138  0.161
4CFIA      258  XRAY       1.3  0.138  0.165
4UAVA      246  XRAY       1.3  0.138  0.172
4DUQA       98  XRAY       1.3  0.138  0.168
1O2DA      371  XRAY       1.3  0.139   0.17
2OKTA      342  XRAY       1.3  0.139  0.181
3HM4A      156  XRAY       1.3  0.139  0.165
3A9FA       92  XRAY       1.3  0.139  0.155
6TRJA       91  XRAY       1.3  0.139  0.177
2J6LA      500  XRAY       1.3   0.14  0.189
4YZZA      367  XRAY       1.3   0.14  0.163
6XG7A      307  XRAY       1.3   0.14  0.174
7AEHA      305  XRAY       1.3   0.14  0.173
2VLAA      285  XRAY       1.3   0.14  0.166
4BN4A      284  XRAY       1.3   0.14  0.179
7O1RA      261  XRAY       1.3   0.14  0.158
1WPNA      188  XRAY       1.3   0.14  0.166
7JZSA      182  XRAY       1.3   0.14  0.184
3EURA      142  XRAY       1.3   0.14   0.17
3U7ZA      101  XRAY       1.3   0.14  0.189
6Q61A       61  XRAY       1.3   0.14  0.167
1DG6A      191  XRAY       1.3  0.141  0.197
5TQJA      136  XRAY       1.3  0.141  0.172
3EBTA      132  XRAY       1.3  0.141  0.162
4JVUA      117  XRAY       1.3  0.141  0.168
4PVKA      500  XRAY       1.3  0.142   0.16
5OBYA      374  XRAY       1.3  0.142  0.161
4XMRA      254  XRAY       1.3  0.142  0.173
5A67A      212  XRAY       1.3  0.142  0.175
4I2UA      114  XRAY       1.3  0.142  0.166
1LQ9A      112  XRAY       1.3  0.142  0.168
1W2LA       99  XRAY       1.3  0.142   0.17
6F8BA      301  XRAY       1.3  0.143  0.159
6D9YA      258  XRAY       1.3  0.143  0.152
5GQIA      247  XRAY       1.3  0.144  0.169
2HYKA      245  XRAY       1.3  0.144  0.162
3E8TA      220  XRAY       1.3  0.144  0.182
2CCVA      101  XRAY       1.3  0.144  0.179
6FF1A       69  XRAY       1.3  0.144  0.172
6NKJA      430  XRAY       1.3  0.145  0.155
3WDQA      355  XRAY       1.3  0.145  0.164
6STLA      298  XRAY       1.3  0.145  0.183
1NXMA      197  XRAY       1.3  0.145  0.174
2VUVA      129  XRAY       1.3  0.145  0.161
6FMBA       98  XRAY       1.3  0.145  0.176
1JO8A       58  XRAY       1.3  0.145  0.178
1WVFA      520  XRAY       1.3  0.146  0.167
4H27A      364  XRAY       1.3  0.146  0.168
1J2RA      199  XRAY       1.3  0.146  0.165
3WUZA      120  XRAY       1.3  0.146  0.178
6N1BA      503  XRAY       1.3  0.147  0.162
1WKRA      340  XRAY       1.3  0.147  0.171
2XKIA      110  XRAY       1.3  0.147  0.177
6TKLI       53  XRAY       1.3  0.147  0.176
1GK9B      557  XRAY       1.3  0.148  0.169
2E3BA      344  XRAY       1.3  0.148  0.199
5NRHA      312  XRAY       1.3  0.148   0.19
5MU9A      293  XRAY       1.3  0.148  0.183
1GK9A      260  XRAY       1.3  0.148  0.169
4QC6A      179  XRAY       1.3  0.148  0.166
3GWKC       98  XRAY       1.3  0.148  0.188
5I7IA      341  XRAY       1.3  0.149  0.173
6VJUA      324  XRAY       1.3  0.149   0.18
2QSBA       89  XRAY       1.3  0.149  0.178
1JCDA       52  XRAY       1.3  0.149  0.209
7COHA      514  XRAY       1.3   0.15   0.17
6HY3A      272  XRAY       1.3   0.15  0.169
2F69A      261  XRAY       1.3   0.15  0.174
7COHC      261  XRAY       1.3   0.15   0.17
7COHB      227  XRAY       1.3   0.15   0.17
3MQZA      215  XRAY       1.3   0.15  0.174
7ANIA      183  XRAY       1.3   0.15  0.175
7COHD      147  XRAY       1.3   0.15   0.17
6VH6A      142  XRAY       1.3   0.15  0.161
7COHE      109  XRAY       1.3   0.15   0.17
7COHF       98  XRAY       1.3   0.15   0.17
4HKGA       88  XRAY       1.3   0.15  0.168
7COHG       85  XRAY       1.3   0.15   0.17
7COHH       85  XRAY       1.3   0.15   0.17
7COHI       73  XRAY       1.3   0.15   0.17
7COHJ       59  XRAY       1.3   0.15   0.17
7COHK       56  XRAY       1.3   0.15   0.17
7COHL       47  XRAY       1.3   0.15   0.17
7COHM       46  XRAY       1.3   0.15   0.17
3B9WA      407  XRAY       1.3  0.151  0.171
7L7XAAA    404  XRAY       1.3  0.151  0.169
5HSGA      310  XRAY       1.3  0.151  0.174
2V6KA      214  XRAY       1.3  0.151  0.165
5HB6A      144  XRAY       1.3  0.151  0.174
7KIIA      111  XRAY       1.3  0.151  0.184
4J20A       88  XRAY       1.3  0.151   0.17
3OMYA       52  XRAY       1.3  0.151  0.173
7AQZA      364  XRAY       1.3  0.152  0.172
5B4ZA      345  XRAY       1.3  0.152  0.169
3WCZA      308  XRAY       1.3  0.152  0.164
2X9ZA      262  XRAY       1.3  0.152  0.178
5JB9S      235  XRAY       1.3  0.152  0.176
6SBAA      221  XRAY       1.3  0.152  0.175
2XHFA      171  XRAY       1.3  0.152  0.184
4OI3A       89  XRAY       1.3  0.152  0.169
5JB9E       58  XRAY       1.3  0.152  0.176
4H7PA      345  XRAY       1.3  0.153  0.178
1LZLA      323  XRAY       1.3  0.153  0.213
2I8TA      167  XRAY       1.3  0.153  0.174
3R0NA      128  XRAY       1.3  0.153  0.173
4GMQA      103  XRAY       1.3  0.153  0.188
3GYLB      261  XRAY       1.3  0.154  0.178
2OXCA      230  XRAY       1.3  0.154  0.175
3HFOA       70  XRAY       1.3  0.154    0.2
1R0MA      375  XRAY       1.3  0.155  0.173
4P8BA      342  XRAY       1.3  0.155  0.174
3LHSA      296  XRAY       1.3  0.155  0.186
1VP8A      201  XRAY       1.3  0.155  0.166
3GA4A      178  XRAY       1.3  0.155  0.187
1SXVA      172  XRAY       1.3  0.155  0.169
3FK8A      133  XRAY       1.3  0.155  0.179
3KEVA      199  XRAY       1.3  0.156  0.178
1MJNA      179  XRAY       1.3  0.156  0.202
3F2ZA      159  XRAY       1.3  0.156  0.175
5Z37A      265  XRAY       1.3  0.157  0.179
1SG4A      260  XRAY       1.3  0.157  0.202
6T2TA      238  XRAY       1.3  0.157  0.164
1RUTX      188  XRAY       1.3  0.157  0.193
1Z6MA      175  XRAY       1.3  0.157  0.187
6UYRA       83  XRAY       1.3  0.157  0.173
1NUYA      337  XRAY       1.3  0.158  0.206
3D02A      303  XRAY       1.3  0.158  0.172
4LA9A      254  XRAY       1.3  0.158  0.194
5OK6A      230  XRAY       1.3  0.158  0.178
2MHRA      118  XRAY       1.3  0.158  NA   
1T6UA      117  XRAY       1.3  0.158  0.201
7FD1A      106  XRAY       1.3  0.158  NA   
2Y5PA       74  XRAY       1.3  0.158  0.196
6B29A       59  XRAY       1.3  0.158  0.189
3IPCA      356  XRAY       1.3  0.159  0.186
1TBFA      347  XRAY       1.3  0.159  0.185
4JBDA      330  XRAY       1.3  0.159  0.184
5IWUA      302  XRAY       1.3  0.159  0.171
6JWFA      410  XRAY       1.3   0.16  0.177
7NX1A      322  XRAY       1.3   0.16   0.18
4I66A      209  XRAY       1.3   0.16  0.198
5MFOA      202  XRAY       1.3   0.16  0.178
3PN3A      193  XRAY       1.3   0.16  0.169
1KMTA      141  XRAY       1.3   0.16  0.195
4GXWA      380  XRAY       1.3  0.161  0.181
5IZ3A      316  XRAY       1.3  0.161  0.191
2GZQA      200  XRAY       1.3  0.161   0.18
2J6BA      109  XRAY       1.3  0.161  0.192
7O39A       59  XRAY       1.3  0.161  0.185
6JSAA      175  XRAY       1.3  0.162   0.18
5CWHA      172  XRAY       1.3  0.162  0.185
2RE2A      136  XRAY       1.3  0.162  0.179
4CGOA      411  XRAY       1.3  0.163  0.196
1QWYA      291  XRAY       1.3  0.164  0.181
2NR7A      195  XRAY       1.3  0.164  0.197
3I6CA      123  XRAY       1.3  0.164  0.214
3CX2A      108  XRAY       1.3  0.164  0.209
3LNYA       96  XRAY       1.3  0.164  0.189
3PMOA      372  XRAY       1.3  0.165  0.185
4P47A      345  XRAY       1.3  0.165  0.188
3HLXA      258  XRAY       1.3  0.165  0.198
4FCHA      221  XRAY       1.3  0.165  0.177
3DA8A      215  XRAY       1.3  0.165  0.186
4KEMA      390  XRAY       1.3  0.166  0.186
3K6YA      237  XRAY       1.3  0.166  0.199
2IZXA       41  XRAY       1.3  0.166  0.194
2Q9OA      559  XRAY       1.3  0.167  0.212
6HXMA      270  XRAY       1.3  0.167  0.178
2R5OA      188  XRAY       1.3  0.167  0.182
7JGWA      158  XRAY       1.3  0.167  0.199
6FF2A       68  XRAY       1.3  0.167  0.202
4RD4A      415  XRAY       1.3  0.168  0.197
6GG1A      154  XRAY       1.3  0.168  0.183
3QU3A      137  XRAY       1.3  0.169    0.2
1DBFA      127  XRAY       1.3  0.169  0.235
6X38A      111  XRAY       1.3  0.169  0.182
1CY5A       97  XRAY       1.3  0.169  0.199
5EXHC       47  XRAY       1.3  0.169  0.187
2GF3A      389  XRAY       1.3   0.17  0.195
5ZRYA      194  XRAY       1.3   0.17  0.199
3S8SA      110  XRAY       1.3   0.17  0.198
7C31A       47  XRAY       1.3   0.17   0.19
5AGRA      232  XRAY       1.3  0.171  0.197
6EXZA       72  XRAY       1.3  0.171  0.207
4I7WA      308  XRAY       1.3  0.172  0.186
3NDHA      225  XRAY       1.3  0.172  0.183
7DHPA      137  XRAY       1.3  0.172  0.185
4QBOA       92  XRAY       1.3  0.172   0.18
3AJ7A      589  XRAY       1.3  0.173  0.186
2GSOA      393  XRAY       1.3  0.173  0.193
3NO0A      276  XRAY       1.3  0.173  0.189
4JMPA      269  XRAY       1.3  0.173  0.191
4LGTA      255  XRAY       1.3  0.173  0.203
3CIMA       99  XRAY       1.3  0.173  0.222
6FYJA      421  XRAY       1.3  0.174  0.193
7L81AAA    223  XRAY       1.3  0.174  0.195
6W92A      164  XRAY       1.3  0.174  0.185
4J44A       86  XRAY       1.3  0.174  0.193
4H8EA      256  XRAY       1.3  0.175  0.194
5YH4A      179  XRAY       1.3  0.175  0.188
4CGSA      173  XRAY       1.3  0.175   0.22
3D3BA      141  XRAY       1.3  0.175  0.204
3N01A       89  XRAY       1.3  0.175  0.213
3D3BJ       87  XRAY       1.3  0.175  0.204
1USEA       45  XRAY       1.3  0.175  0.196
1JNDA      420  XRAY       1.3  0.176  0.202
2NLVA      112  XRAY       1.3  0.176  0.195
1RROA      108  XRAY       1.3  0.176  NA   
2XNQA       97  XRAY       1.3  0.176  0.194
3B34A      891  XRAY       1.3  0.177  0.194
7KJGA      382  XRAY       1.3  0.177  0.197
7MT1A      343  XRAY       1.3  0.177  0.197
1O8XA      146  XRAY       1.3  0.177  0.209
3BQPA       80  XRAY       1.3  0.177  0.234
3M6WA      464  XRAY       1.3  0.178  0.191
4WTPA      298  XRAY       1.3  0.178  0.186
2IMQX      282  XRAY       1.3  0.178  0.208
3A7LA      128  XRAY       1.3  0.178  0.205
6FDGA      155  XRAY       1.3  0.179  0.198
6TGKC      105  XRAY       1.3  0.179  0.207
3B0TA      254  XRAY       1.3   0.18  0.199
4P82A      183  XRAY       1.3   0.18  0.206
3PESA       85  XRAY       1.3   0.18  0.205
2D1SA      548  XRAY       1.3  0.181  0.201
1HYOA      421  XRAY       1.3  0.181  0.199
1YG9A      330  XRAY       1.3  0.181  0.212
7KFOA      182  XRAY       1.3  0.181  0.192
1PWAA      162  XRAY       1.3  0.181  0.195
2IMFA      203  XRAY       1.3  0.182  0.208
2ZHNA      148  XRAY       1.3  0.182  0.192
6KJKA      147  XRAY       1.3  0.182  0.203
7LHYA      123  XRAY       1.3  0.182  0.198
3BNJA      485  XRAY       1.3  0.183  0.208
3I33A      404  XRAY       1.3  0.184  0.199
3O46A       93  XRAY       1.3  0.184  0.191
4AC1X      283  XRAY       1.3  0.185  0.202
3L1NA      194  XRAY       1.3  0.185  0.198
5FA8A      161  XRAY       1.3  0.185  0.212
2D5WA      603  XRAY       1.3  0.186  0.196
4EEWA       88  XRAY       1.3  0.186    0.2
3IKWA      374  XRAY       1.3  0.188   0.21
1WCWA      261  XRAY       1.3  0.188  0.216
7NSZAAA    217  XRAY       1.3  0.188  0.221
5IO9A      106  XRAY       1.3  0.188   0.21
3DXLA      303  XRAY       1.3  0.189  0.214
5TRQA      291  XRAY       1.3  0.189  0.207
2GQTA      268  XRAY       1.3  0.189  0.209
3G7NA      258  XRAY       1.3  0.189  0.208
6DDMC       94  XRAY       1.3  0.189  0.205
1Z41A      338  XRAY       1.3   0.19  0.208
6L5HA       98  XRAY       1.3   0.19  0.204
6C1ZA      138  XRAY       1.3  0.191   0.21
5Z42A      102  XRAY       1.3  0.191  0.204
1ES9A      232  XRAY       1.3  0.192  0.217
6LACA      181  XRAY       1.3  0.192   0.21
2FCJA      119  XRAY       1.3  0.192  0.214
5Y4ZA      440  XRAY       1.3  0.193  0.216
2AGKA      260  XRAY       1.3  0.193  0.216
6TG6A      116  XRAY       1.3  0.193  0.201
5V3NA      113  XRAY       1.3  0.193  0.217
3H74A      282  XRAY       1.3  0.194  0.202
5C6SA      130  XRAY       1.3  0.194  0.217
4N30A      221  XRAY       1.3  0.195   0.22
2OS0A      188  XRAY       1.3  0.195  0.207
6X1RA      102  XRAY       1.3  0.196  0.207
1ZCEA      155  XRAY       1.3  0.197  0.211
2ECUA      149  XRAY       1.3  0.197  0.216
3KZDA       94  XRAY       1.3  0.199  0.224
1HDHA      536  XRAY       1.3    0.2  0.229
1UCDA      190  XRAY       1.3    0.2  0.203
1XEOA      168  XRAY       1.3    0.2  0.215
